episod,total_reward
1,20.8401598086
2,20.3439119097
3,20.6606555913
4,0.238705933367
5,15.9800790229
6,8.6575111853
7,13.5588457713
8,-1.14154725476
9,7.25419815619
10,10.9813929302
11,5.5071165792
12,-6.38295105624
13,6.44827314679
14,15.8663239461
15,-3.04607693823
16,2.72699929107
17,1.21351415839
18,-1.94657878554
19,8.64700922336
20,22.2191435736
21,10.8589710514
22,-4.58421163139
23,13.7195936955
24,10.6611587089
25,11.0817914349
26,10.1371616872
27,-5.68514708127
28,3.93380661234
29,-2.62860230653
30,12.9279353677
31,9.03816108652
32,3.09922235587
33,-0.874133542221
34,-4.07104533438
35,-3.95465368009
36,1.58615318883
37,1.70484699102
38,-17.333895573
39,-4.66516091891
40,11.7129806726
41,21.6153410061
42,9.72284925136
43,14.3624877619
44,12.1708120003
45,11.6635213742
46,3.65786531784
47,14.27170059
48,14.3045041812
49,8.86867070952
50,13.0654768261
51,-4.27972488888
52,3.71595025923
53,4.91736984237
54,-1.66538046278
55,5.47136321777
56,7.14657197276
57,3.56380383497
58,3.51654917782
59,10.8380035462
60,-2.80286536551
61,-0.841449961095
62,0.31450800498
63,-97.2290327667
64,-171.659629198
65,-171.314416596
66,-171.23305703
67,-171.30366346
68,-171.407584888
69,-171.135190155
70,12.1532488903
71,3.86474546088
72,-171.930746505
73,-7.25797441757
74,-157.591701063
75,-174.874551178
76,-2.17508956404
77,-1.75913307059
78,-2.52508733483
79,-1.63570521812
80,-0.909924223462
81,-2.49244836873
82,-1.94530487289
83,-2.84377487966
84,-2.06238971376
85,-2.68437365892
86,-2.86429202402
87,-3.43181820113
88,-2.84946582784
89,-2.45897822778
90,-3.07815934491
91,-3.71431953124
92,-2.04755714776
93,-2.28290047432
94,-1.16658126994
95,-2.31220254478
96,-1.87926862145
97,-2.78270910669
98,-1.82629861062
99,-1.69983676867
100,-2.27860677432
101,-2.90303937819
102,-2.1892190519
103,-2.4817537034
104,-1.78339942809
105,-1.64276060788
106,-1.37840847897
107,-3.43717951736
108,-3.88976830388
109,-172.21133799
110,-171.853372648
111,-171.507901524
112,-1.06494366532
113,-86.5361305697
114,-9.89257119426
115,-84.5465558437
116,-37.8695079451
117,-134.508025199
118,-171.094962014
119,-171.216309365
120,-172.123687796
121,-172.063557306
122,-171.345882036
123,-171.589410557
124,-171.641305444
125,-171.274794183
126,-130.746809269
127,20.5913625092
128,20.4383864414
129,20.3306911175
130,20.522743835
131,20.4069349019
132,20.4466715311
133,20.4689026979
134,20.4393297371
135,20.3404182063
136,20.3755728515
137,20.629374208
138,20.4702429409
139,20.3710231411
140,20.3216418484
141,20.2374677022
142,20.5376370622
143,20.4957184609
144,20.2312058841
145,20.5105575222
146,-10.1153428738
147,55.5988389545
148,17.193109432
149,25.8411386131
150,-171.364399919
151,-171.980275271
152,-171.134017323
153,-171.607599653
154,-171.265025039
155,-171.748407848
156,-171.119172079
157,-171.179417663
158,-171.734140974
159,-171.634520157
160,-171.806387116
161,-171.478763441
162,-171.890319284
163,-171.160281693
164,-171.88602561
165,-171.886768772
166,-171.649912243
167,-171.877744108
168,-171.157506139
169,-172.174583193
170,-172.067059121
171,-172.145346708
172,-171.887402262
173,-171.154489769
174,-171.958944271
175,-171.760757674
176,-172.151459353
177,-171.897516282
178,-171.818147177
179,-171.336084385
180,-171.596963477
181,-171.529715529
182,-172.419286643
183,-171.858170902
184,-171.175060887
185,-171.203747268
186,-171.57359416
187,-172.024335408
188,-171.446740509
189,-171.886635142
190,-171.597840067
191,-171.640668668
192,-171.618156643
193,-171.14862669
194,-171.480148427
195,-172.38538754
196,-171.867389002
197,-171.630074737
198,-171.463712369
199,-171.858017556
200,-171.293412731
201,-172.553952963
202,-171.076825767
203,-171.216188338
204,-171.627215014
205,-171.406123391
206,-171.482745944
207,-171.834903485
208,-171.409948037
209,-171.089886968
210,-171.527475042
211,-171.204231612
212,-171.258888792
213,-171.418343467
214,-171.317946797
215,-171.097578678
216,-171.12058114
217,-171.573989402
218,-171.496357946
219,-171.334578453
220,-171.564038647
221,-171.459901694
222,-171.588536954
223,-171.81794201
224,-171.124893409
225,-171.453450716
226,-171.346163685
227,-171.561551437
228,-171.673006376
229,-171.137310875
230,-171.39236199
231,-171.608183211
232,-171.94862986
233,-171.09317762
234,-171.345360412
235,-171.493952405
236,-171.088907133
237,-171.435171279
238,-171.773334847
239,-171.380003377
240,-171.361576828
241,-171.688384711
242,-171.722408165
243,-171.71613902
244,-172.081801608
245,-171.528674158
246,-171.773280357
247,-172.478443016
248,-171.220212161
249,-171.718110152
250,-171.203706006
251,-171.307319946
252,-171.187687664
253,-171.946885417
254,-171.853966033
255,-171.73787367
256,-171.471276578
257,-171.631241852
258,-172.559860253
259,-171.481728865
260,-171.792968961
261,-171.234301683
262,-171.615328642
263,-171.415270152
264,-171.25163101
265,-171.328404533
266,-171.230234958
267,-171.794837161
268,-171.38334311
269,-171.134232582
270,-171.597627479
271,-171.573803548
272,-171.196009729
273,-171.127286154
274,-171.873194139
275,-172.316853126
276,-171.064479688
277,-171.589178798
278,-171.710233203
279,-171.300482461
280,-171.432234295
281,-171.31188827
282,-171.230196288
283,-171.547679542
284,-171.662968906
285,-172.019785381
286,-171.263862019
287,-171.605600251
288,-171.148114327
289,-171.914302699
290,-171.227328762
291,-171.408078266
292,-163.633736966
293,20.4239860131
294,19.7302661797
295,20.7534575208
296,20.6170927572
297,20.3959654988
298,21.1495066878
299,20.6671913704
300,20.1518087767
301,20.2860579865
302,20.5916240115
303,19.7930287948
304,20.2525643778
305,20.6220435177
306,20.5584003751
307,20.944090175
308,20.9697321025
309,20.2261367392
310,20.3301163364
311,20.2435805313
312,20.250325418
313,20.2331190129
314,20.2150271193
315,20.6876288196
316,20.0795281307
317,20.5364751808
318,20.3925186493
319,20.6865755244
320,20.7489355634
321,19.3618548173
322,20.5701837204
323,10.7133076178
324,-203.126276035
325,-203.092786269
326,-202.965355058
327,-203.083871032
328,-203.148397987
329,20.128072918
330,20.174904408
331,20.8320871649
332,20.7291721628
333,20.4588897995
334,20.7069170225
335,20.3563844118
336,20.5086354474
337,20.2986503685
338,20.077841408
339,20.4669308308
340,20.0737039396
341,19.93133234
342,20.1127450744
343,21.0626151669
344,21.0881380851
345,21.1901917521
346,20.2621941759
347,20.0737325912
348,20.0516177724
349,20.7774967025
350,20.1417745061
351,20.2435341309
352,19.8591486067
353,20.3411137371
354,20.406092896
355,20.8213518469
356,20.0840928276
357,20.3601816017
358,20.2011973658
359,20.5052677269
360,20.5153809973
361,20.2316655623
362,20.3179053917
363,19.9366813661
364,19.8109096244
365,20.7189925193
366,20.2599810667
367,20.1910258158
368,20.5979893622
369,20.2759421552
370,20.321073461
371,19.9462435123
372,20.8357319158
373,20.2438023132
374,20.0641418632
375,20.402401246
376,20.4674572689
377,20.5349840035
378,20.7876597067
379,20.9510216998
380,19.9012417579
381,20.0336761424
382,20.4050768114
383,20.1864729866
384,20.7627931841
385,20.2671426082
386,20.5256307726
387,20.1358455922
388,20.4572931695
389,20.5949723591
390,20.6003830519
391,20.2126525599
392,20.7150767955
393,20.4857643511
394,20.7242564481
395,20.8949347885
396,20.1612521217
397,23.7611126521
398,-203.073032511
399,-203.102065788
400,-203.011176116
401,-203.101924656
402,-203.006168937
403,-203.026360441
404,-203.000819778
405,-202.994670408
406,-202.978440898
407,-203.097241174
408,-203.122247158
409,-203.224804269
410,-203.087312083
411,-203.084203476
412,-203.030081291
413,-203.023530818
414,-13.8574343586
415,-203.078959948
416,-13.8287082731
417,-19.5207463998
418,-25.7234178142
419,19.9672177117
420,20.2903635833
421,20.2547027861
422,19.7879268411
423,21.4068286123
424,19.6282537983
425,20.2484966303
426,20.707160525
427,20.6118535829
428,20.1106304812
429,20.8229052204
430,20.1903603383
431,19.9235422977
432,20.4221878399
433,20.2140957915
434,20.1208843183
435,20.3865932376
436,20.1302045759
437,19.9427172297
438,20.4428713825
439,20.2590616164
440,20.0822810318
441,20.4027221298
442,20.595344769
443,20.7539458048
444,20.2109575496
445,19.6475788219
446,20.3894479606
447,19.8441701591
448,19.7482813161
449,20.4709832523
450,20.2073370783
451,20.6671786379
452,20.4589618625
453,20.3306607928
454,17.8324129638
455,-171.163174816
456,-171.595804675
457,-171.600366465
458,-171.184948129
459,-171.111007636
460,-171.244877694
461,-172.052406351
462,-171.814839992
463,-171.903303992
464,-171.966266984
465,-171.361348537
466,-171.944861283
467,-172.005902685
468,-171.289568443
469,-171.906319152
470,-171.115379097
471,-172.019569488
472,-171.090806208
473,-171.265224187
474,-172.083699542
475,-171.320108816
476,-171.397472248
477,-172.557130263
478,20.2065935808
479,20.399989571
480,20.3864780688
481,20.4126058819
482,20.2823883331
483,20.4005027759
484,20.3483989634
485,20.4410572086
486,20.3260355474
487,20.1996882863
488,20.2248624478
489,20.622341579
490,20.3773573441
491,20.5139642036
492,20.4971926178
493,20.3748176565
494,20.439702693
495,20.5568095859
496,20.485684611
497,20.452823322
498,20.5613308563
499,20.389779248
500,20.353210514
501,20.3842458021
502,20.3456411432
503,20.5972911849
504,20.4590022385
505,20.5032451182
506,20.4575995997
507,20.3833354782
508,20.3853042498
509,20.351122152
510,20.3326512083
511,20.5570586364
512,20.369556565
513,20.6202098091
514,20.5899090896
515,20.5252553911
516,20.2263770482
517,20.6539867085
518,20.4271273999
519,20.5090904495
520,20.1985719214
521,20.4482374666
522,20.6155052406
523,20.5128370002
524,20.2631714583
525,20.3798609374
526,20.255039505
527,20.3769112561
528,20.1891801557
529,20.4001164375
530,20.4437609995
531,20.4939711777
532,20.4806108884
533,20.4797601539
534,20.3866860883
535,20.408070675
536,20.3361295763
537,20.4014733357
538,20.4068434279
539,20.4006642572
540,20.2847328828
541,20.3427757862
542,20.3711780556
543,20.3644749666
544,20.2440147072
545,20.3031887867
546,20.5073929128
547,20.2226920693
548,20.4045808922
549,20.479665564
550,20.4381795133
551,20.169851213
552,20.2918304974
553,20.5470871862
554,20.2546286503
555,20.4914306346
556,20.400465288
557,20.3959411154
558,20.454584346
559,20.3966730503
560,20.2047954904
561,20.2642228647
562,20.5123600213
563,20.3773611399
564,20.6198911592
565,20.423508389
566,20.3405909253
567,20.4406246525
568,20.4552554891
569,20.3982986485
570,20.4239054815
571,20.4458615859
572,20.3911701766
573,20.5860775141
574,20.2931289325
575,20.4269345433
576,20.5793530666
577,20.4451275181
578,20.4321994897
579,20.4622871139
580,20.2391180791
581,20.4094534266
582,20.3345858874
583,20.3357492835
584,20.4061220719
585,20.4696063815
586,20.3854252012
587,20.3935584198
588,20.4264372236
589,20.4528568189
590,20.4748585007
591,20.5275714798
592,20.3574777246
593,20.3474114411
594,20.477290982
595,20.5073225221
596,20.4691612454
597,20.3550465867
598,20.4087754105
599,20.3691032433
600,20.3843136317
601,20.4439856032
602,20.3944603887
603,20.3823187526
604,20.2996052807
605,20.4723642595
606,20.2338963074
607,20.2855607759
608,20.5320902512
609,20.4375459541
610,20.3455254549
611,20.5790319785
612,20.5267524106
613,20.3308731197
614,20.4362433685
615,20.3545332574
616,20.3593224938
617,20.2776489813
618,20.2390207773
619,20.5599165824
620,20.5091940018
621,20.334292106
622,20.3620019518
623,20.629940146
624,20.340622151
625,20.5243276052
626,20.2869764534
627,20.4521740401
628,20.3486921945
629,20.4449602368
630,20.6682024338
631,20.500187399
632,20.6453899124
633,20.4253233744
634,20.1323929384
635,20.3200070802
636,20.4822868652
637,20.5496985135
638,20.3975777562
639,20.3813977818
640,20.31448754
641,20.5287555692
642,20.5592243142
643,20.4369988898
644,20.1904731242
645,20.596276218
646,20.5182943769
647,20.5000222758
648,20.4142372182
649,20.5113238131
650,20.3552365152
651,20.3016566975
652,20.3946930239
653,20.6574801125
654,20.415113722
655,20.3470054526
656,20.3212173831
657,20.4131196552
658,20.6517012837
659,20.1348779852
660,20.4921309589
661,20.4198932797
662,20.4023584485
663,20.4400029069
664,20.505914534
665,20.4735615943
666,20.390152882
667,20.3774011275
668,20.4780338957
669,20.3819404547
670,20.4340453943
671,20.4662442296
672,20.4564698174
673,20.2416553075
674,20.6067458815
675,20.3724155069
676,20.4130051561
677,20.558032511
678,20.3976096838
679,20.2930044499
680,20.4706259841
681,20.4451721268
682,20.4591273411
683,20.2983208555
